Course / Learning material,Source,Course Level,Type (Free or Paid),Module,Duration,"Module / Sub-module 
Difficulty level",Keywords / Tags / Skills / Interests / Categories,Links
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Reducing Loss - An Iterative Approach,,Easy to Medium,"iterative approach, reducing loss",https://developers.google.com/machine-learning/crash-course/reducing-loss/an-iterative-approach
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Reducing Loss - Gradient Descent,,Easy to Medium,"gradient descent, reducing loss",https://developers.google.com/machine-learning/crash-course/reducing-loss/gradient-descent
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Reducing Loss - Learning Rate,,Easy to Medium,"learning rate, reducing loss",https://developers.google.com/machine-learning/crash-course/reducing-loss/learning-rate
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Reducing Loss - Optimizing Learning Rate,,Easy to Medium,"optimising, learning rate, reducing loss",https://developers.google.com/machine-learning/crash-course/fitter/graph
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Reducing Loss - Stochastic Gradient Descent,60 mins,Easy to Medium,"stochastic, gradient descent, reducing loss",https://developers.google.com/machine-learning/crash-course/reducing-loss/stochastic-gradient-descent
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Reducing Loss - Playground Exercise,,Easy to Medium,"reducing loss, practical",https://developers.google.com/machine-learning/crash-course/reducing-loss/playground-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,First Steps with TensorFlow - Toolkit,,Easy,"tensorflow, toolkit",https://developers.google.com/machine-learning/crash-course/first-steps-with-tensorflow/toolkit
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,First Steps with TensorFlow - Toolkit,,Easy,"tensorflow, toolkit",https://developers.google.com/machine-learning/crash-course/first-steps-with-tensorflow/programming-exercises
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Generalisation - Video Lecture,,Easy,generalisation,https://developers.google.com/machine-learning/crash-course/generalization/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Generalisation - Peril of Overfitting,,Easy,"generalisation, overfitting",https://developers.google.com/machine-learning/crash-course/generalization/peril-of-overfitting
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Training and Test Sets - Video Lecture,,Easy,"training, test, datasets",https://developers.google.com/machine-learning/crash-course/training-and-test-sets/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Training and Test Sets - Splitting Data,,Easy,"training, test, datasets, splitting, data",https://developers.google.com/machine-learning/crash-course/training-and-test-sets/splitting-data
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Training and Test Sets - Playground Exercise,,Easy,"training, test, datasets",https://developers.google.com/machine-learning/crash-course/training-and-test-sets/playground-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Validation Set - Video lecture,65 mins,Easy,validation set,https://developers.google.com/machine-learning/crash-course/validation/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Validation Set - Another Partition,,Easy,"validation set, partition",https://developers.google.com/machine-learning/crash-course/validation/another-partition
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Validation Set - Playground Exercise,,Easy,validation set,https://developers.google.com/machine-learning/crash-course/validation/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Representation - Video lecture,,Easy to Medium,representation,https://developers.google.com/machine-learning/crash-course/representation/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Representation - Feature Engineering,15 mins,Easy to Medium,"representation, feature engineering",https://developers.google.com/machine-learning/crash-course/representation/feature-engineering
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Representation - Qualities of Good Features,,Easy to Medium,"representation, qualities, good features",https://developers.google.com/machine-learning/crash-course/representation/qualities-of-good-features
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Representation - Cleaning Data,,Easy to Medium,"representation, cleaning, data",https://developers.google.com/machine-learning/crash-course/representation/cleaning-data
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Video lecture,,Easy to Medium,"feature, crosses",https://developers.google.com/machine-learning/crash-course/feature-crosses/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Encoding Nonlinearity,25 mins,Easy to Medium,"feature, crosses, encoding, nonlinearity",https://developers.google.com/machine-learning/crash-course/feature-crosses/encoding-nonlinearity
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Crossing One-Hot Vectors,,Easy to Medium,"feature, crosses, one-hot vectors",https://developers.google.com/machine-learning/crash-course/feature-crosses/crossing-one-hot-vectors
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Playground Exercises,,Easy to Medium,"feature, crosses",https://developers.google.com/machine-learning/crash-course/feature-crosses/playground-exercises
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Programming Exercise,,Easy to Medium,"feature, crosses",https://developers.google.com/machine-learning/crash-course/feature-crosses/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - Playground Exercise: Overcrossing?,,Medium,"regularisation, simplicity",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/playground-exercise-overcrossing
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - Video Lecture,35 mins,Medium,"regularisation, simplicity",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - L2 Regularization,,Medium,"regularisation, simplicity, l2, regularisation",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/l2-regularization
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - Lambda,,Medium,"regularisation, simplicity, lambda",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/lambda
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - Playground Exercise: L2 Regularization,,Medium,"regularisation, simplicity",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/playground-exercise-examining-l2-regularization
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Logistic Regression - Video Lecture,,Easy to Medium,logistic regression,https://developers.google.com/machine-learning/crash-course/logistic-regression/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Logistic Regression - Calculating a Probability,35 mins,Easy to Medium,"logistic regression, probability",https://developers.google.com/machine-learning/crash-course/logistic-regression/calculating-a-probability
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Logistic Regression - Loss and Regularization,,Easy to Medium,"logistic regression, loss, regularisation",https://developers.google.com/machine-learning/crash-course/logistic-regression/model-training
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Video Lecture,,Easy to Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Thresholding,,Easy to Medium,"classification, threshold",https://developers.google.com/machine-learning/crash-course/classification/thresholding
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - True vs. False; Positive vs. Negative,,Easy to Medium,"classification, confusion matrix",https://developers.google.com/machine-learning/crash-course/classification/true-false-positive-negative
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Accuracy,,Easy to Medium,"classification, accuracy",https://developers.google.com/machine-learning/crash-course/classification/accuracy
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Precision and Recall,70 mins,Easy to Medium,"classification, precision, recall",https://developers.google.com/machine-learning/crash-course/classification/precision-and-recall
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,"Classification - Check Your Understanding: Accuracy, Precision, Recall",,Easy to Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/check-your-understanding-accuracy-precision-recall 
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - ROC Curve and AUC,,Easy to Medium,"classification, roc, roc curve, auc",https://developers.google.com/machine-learning/crash-course/classification/roc-and-auc
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Check Your Understanding: ROC and AUC,,Easy to Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/check-your-understanding-roc-and-auc
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Prediction Bias,,Easy to Medium,"classification, prediction, bias",https://developers.google.com/machine-learning/crash-course/classification/prediction-bias
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Programming Exercise,,Easy to Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Sparcity - Video Lecture,,Medium,"regulisation, sparcity",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Sparcity - L1 Regularization,40 mins,Medium,"regulisation, sparcity, l1, regularisation",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/l1-regularization
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Sparcity - Playground Exercise,,Medium,"regulisation, sparcity",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/playground-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Sparcity - Check Your Understanding,,Medium,"regulisation, sparcity",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/check-your-understanding
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Neural Networks - Video Lecture,,Easy to Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Neural Networks - Structure,,Easy to Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/anatomy
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Neural Networks - Playground Exercises,,Easy to Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/playground-exercises
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Neural Networks - Programming Exercise,,Easy to Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Training Neural Networks - Video Lecture,20 mins,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/training-neural-networks/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Training Neural Networks - Best Practices,,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/training-neural-networks/best-practices
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Multi-class Neural Networks - Video Lecture,,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Multi-class Neural Networks - One vs. All,,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/one-vs-all
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Multi-class Neural Networks - Softmax,,Easy to Medium,"training, neural networks, softmax",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/softmax
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Multi-class Neural Networks - Programming Exercise,90 mins,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Video Lecture,,Easy to Medium,embeddings,https://developers.google.com/machine-learning/crash-course/embeddings/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Motivation from Collaborative Filtering,,Easy to Medium,"embeddings, collaborative filtering",https://developers.google.com/machine-learning/crash-course/embeddings/motivation-from-collaborative-filtering
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Categorical Input Data,,Easy to Medium,"embeddings, categorical data",https://developers.google.com/machine-learning/crash-course/embeddings/categorical-input-data
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Translating to a Lower-Dimensional Space,,Easy to Medium,"embeddings, low dimensional space",https://developers.google.com/machine-learning/crash-course/embeddings/translating-to-a-lower-dimensional-space
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Obtaining Embeddings,,Easy to Medium,"embeddings, embeddings",https://developers.google.com/machine-learning/crash-course/embeddings/obtaining-embeddings
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Production ML Systems,3 mins,Medium,"production, ml systems",https://developers.google.com/machine-learning/crash-course/production-ml-systems
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Static versus Dynamic training,7 mins,Medium,"statis, dynamic, training",https://developers.google.com/machine-learning/crash-course/static-vs-dynamic-training/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Static versus Dynamic inferencing,7 mins,Medium,"statis, dynamic, inferencing",https://developers.google.com/machine-learning/crash-course/static-vs-dynamic-inference/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Data Dependencies,14 mins,Medium,"data, dependencies",https://developers.google.com/machine-learning/crash-course/data-dependencies/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness,70 mins,Easy to Medium,fairness,https://developers.google.com/machine-learning/crash-course/fairness/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness - Types of Bias,,Easy to Medium,"fairness, bias, types",https://developers.google.com/machine-learning/crash-course/fairness/types-of-bias
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness - Identifying Bias,,Easy to Medium,"fairness, identifying, bias",https://developers.google.com/machine-learning/crash-course/fairness/identifying-bias
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness - Evaluating for Bias,,Easy to Medium,"fairness, evualting, bias",https://developers.google.com/machine-learning/crash-course/fairness/evaluating-for-bias
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness - Programming Exercise,,Easy to Medium,fairness,https://developers.google.com/machine-learning/crash-course/fairness/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Cancer Prediction - ML Systems in the Real World,5 mins,Easy to Medium,"real world, cancer, prediction, ml systems",https://developers.google.com/machine-learning/crash-course/cancer-prediction
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Literature - ML Systems in the Real World,5 mins,Easy to Medium,"real world, literature, ml systems",https://developers.google.com/machine-learning/crash-course/18th-century-literature
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Guidelines - ML Systems in the Real World,2 mins,Easy to Medium,"real world, guidelines, ml systems",https://developers.google.com/machine-learning/crash-course/real-world-guidelines
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Glossary - Machine Learning Crash Course (Foundation),,Easy to Medium,"glossary, machine learning",https://developers.google.com/machine-learning/glossary
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,Overview - Introduction to Machine Learning Problem Framing,5mins,Easy,"ML Problems, samples,solution, machine, label",https://developers.google.com/machine-learning/problem-framing
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,Overview - Problem Framing,5mins,Medium,"problems, framing, data, samples, approach, steps, solution",https://developers.google.com/machine-learning/problem-framing/problem-framing
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,ML Problem Framing - Understanding the Problem,25 minutes,Medium,"data, ml, solution, dataset, user, prediction, predictions",https://developers.google.com/machine-learning/problem-framing/problem
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,ML Problem Framing - Framing an ML problem,15mins,Medium,"model, prediction, regression, metrics, proxy, users, outcome ",https://developers.google.com/machine-learning/problem-framing/ml-framing
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,Conclusion - Implementing a model,10mins,Medium,"model, models, data, prediction, outcome, inference, ml, alert, server ",https://developers.google.com/machine-learning/problem-framing/implement-model
Problem Framing (ML related),Google Developers,Beginners to Intermediate,Free,Conclusion - Summary and next steps,10 minutes,Medium,"licence, content, code, preference, oracle, developers, label",https://developers.google.com/machine-learning/problem-framing/summary
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Decision Forests,2.5 hours,Medium to Hard,"Machine Learning, Advance Machine Learning, Decision Trees, Neural Network, Decision Forests,Hyperparamters",https://developers.google.com/machine-learning/decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What's in this Course ?,5 minutes,Easy,"Decision Trees, Decision Forests, classification, regression, uplift modeling",https://developers.google.com/machine-learning/decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What's in this Course: Course Introduction,2 minutes,Easy,"Decision Trees, Decision Forests, classification, regression, uplift modeling",https://developers.google.com/machine-learning/decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What's in this Course: Appropriate Data,3 minutes,Easy,"Decision Trees, Decision Forests, preprocessing, imputation",https://developers.google.com/machine-learning/decision-forests/appropriate-data
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees ?,16 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node",https://developers.google.com/machine-learning/decision-forests/decision-trees
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees: Overview,4 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node",https://developers.google.com/machine-learning/decision-forests/decision-trees
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees: Conditions,7 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Binary, Non-Binary, Axis Aligned, Oblique Condition",https://developers.google.com/machine-learning/decision-forests/conditions
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees: Check Your Understanding,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Binary, Non-Binary, Axis Aligned, Oblique Condition",https://developers.google.com/machine-learning/decision-forests/decision-trees-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees ?,47 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy",https://developers.google.com/machine-learning/decision-forests/growing
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Growing Decision Trees,10 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy",https://developers.google.com/machine-learning/decision-forests/growing
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Binary Classification,10 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/binary-classification
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Check Your Understanding,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/training-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Overfitting and Pruning,7 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Overfitting, Pruning",https://developers.google.com/machine-learning/decision-forests/overfitting-and-pruning
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Check Your Understanding,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Overfitting, Pruning",https://developers.google.com/machine-learning/decision-forests/overfitting-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Variable Importances,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, variiable importance, feature importance",https://developers.google.com/machine-learning/decision-forests/variable-importances
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Check Your Understanding,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, variable importance, feature importance",https://developers.google.com/machine-learning/decision-forests/variable-importances-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,A Decision Tree Example,5 minutes,Medium to Hard,"Decision Trees, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/practice
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,A Decision Tree Example: A full example,5 minutes,Medium to Hard,"Decision Trees, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/practice
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Forests ?,2 minutes,Medium to Hard,"Decision Forests, Random Forest",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests-real
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Forests : Introduction,2 minutes,Medium to Hard,"Decision Forests, Random Forest",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests-real
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests ?,22 minutes,Medium to Hard,"Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Introduction,2 minutes,Medium to Hard,"Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Random Forests,8 minutes,Medium to Hard,"Random Forest, Ensemble, Bagging, Bootstrap, Attribute Sampling, regularization, pruning",https://developers.google.com/machine-learning/decision-forests/random-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Check Your Understanding,5 minutes,Medium to Hard,"Random Forest, Ensemble, Bagging, Bootstrap, Attribute Sampling, regularization, pruning",https://developers.google.com/machine-learning/decision-forests/random-forests-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Out-of-bag Evaluation,5 minutes,Medium to Hard,"Random Forest, Ensemble, Out-of-bag Evaluation, obb evaluation, TF-DF",https://developers.google.com/machine-learning/decision-forests/out-of-bag
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Other topics,2 minutes,Medium to Hard,"Random Forest, Ensemble, Out-of-bag Evaluation, obb evaluation, TF-DF, Intrepretation, SHAP, SHapley Additive Explainations",https://developers.google.com/machine-learning/decision-forests/other-topics
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees ?,10 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Gradient Boosting, shrinkage",https://developers.google.com/machine-learning/decision-forests/intro-to-gbdt
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees : Introduction,2 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Gradient Boosting, shrinkage",https://developers.google.com/machine-learning/decision-forests/intro-to-gbdt
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees : The gradient boosting algorithm (optional),3 minutes,Medium to Hard,"Gradient Boosting, Newton's Method",https://developers.google.com/machine-learning/decision-forests/gradient-boosting
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees : Overfitting and Regularization,5 minutes,Medium to Hard,"Overfitting, Regularization, Early Stopping, Random Forest, Gradient Boosting, Decision Trees",https://developers.google.com/machine-learning/decision-forests/overfitting-gbdt
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What did you learn ? : Course Summary,2 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Overfitting, Pruning, Regularization, Information Gain, Gini, Bagging, Gradient Boosting",https://developers.google.com/machine-learning/decision-forests/summary
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Recommendation Systems,4 hours,Medium to Hard,"Machine Learning, Advance Machine Learning, Decision Trees, Neural Network, Recommendation System, Deep Neural Network, Deep Learning",https://developers.google.com/machine-learning/recommendation
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Introduction,5 minutes,Easy,"Machine Learning, Advance Machine Learning, Recommendation System, Neural Network, Deep Learning",https://developers.google.com/machine-learning/recommendation
